breakdown_value,stat,mae,rmse,r2,n_samples
D,timeOnIceSeconds,5.319083213806152,6.820949554443359,0.9993493427173235,6959
D,wins,0.014053504914045334,0.017589300870895386,0.0,6959
D,saves,0.1860468089580536,0.23699527978897095,0.0,6959
D,shotsAgainst,0.210541769862175,0.2605758309364319,0.0,6959
D,goalsAgainst,0.07220101356506348,0.08965286612510681,0.0,6959
D,savePct,0.02007118985056877,0.03138177841901779,0.0,6959
D,shutouts,0.007765535730868578,0.007861717604100704,0.0,6959
R,goals,0.3442476987838745,0.4731880724430084,0.03064626455307007,3297
R,assists,0.4480205178260803,0.5617657899856567,0.06290411949157715,3297
R,points,0.5882617831230164,0.7356830835342407,0.08989083766937256,3297
R,shots,1.0970230102539062,1.4339383840560913,0.15862107276916504,3297
R,shotsOnGoal,1.0970265865325928,1.4339489936828613,0.15860861539840698,3297
R,hits,1.0636824369430542,1.4277065992355347,0.012393653392791748,3297
R,blocks,0.630922257900238,0.7564972043037415,-0.05155134201049805,3297
R,powerPlayPoints,0.19715875387191772,0.37974998354911804,0.025656819343566895,3297
R,plusMinus,0.7997437715530396,1.117930293083191,0.0021433234214782715,3297
R,pim,0.628974437713623,1.4510717391967773,-0.024570465087890625,3297
R,timeOnIceSeconds,6.018862247467041,7.470967769622803,0.9989763780031353,3297
R,wins,0.011611204594373703,0.01780610904097557,0.0,3297
R,saves,0.35480624437332153,0.44931167364120483,0.0,3297
R,shotsAgainst,0.3809669017791748,0.48642730712890625,0.0,3297
R,goalsAgainst,0.05664271116256714,0.0911802127957344,0.0,3297
R,savePct,0.02392788976430893,0.03487904742360115,0.0,3297
R,shutouts,0.006143704056739807,0.0062638213858008385,0.0,3297
C,goals,0.3294038474559784,0.4611031711101532,0.048085927963256836,6924
C,assists,0.43906402587890625,0.5577189922332764,0.06497323513031006,6924
C,points,0.5703231692314148,0.7230077981948853,0.11003202199935913,6924
C,shots,1.0833333730697632,1.3863321542739868,0.16886931657791138,6924
C,shotsOnGoal,1.0833618640899658,1.3863662481307983,0.16882848739624023,6924
C,hits,1.0450705289840698,1.3770618438720703,0.019166231155395508,6924
C,blocks,0.656988263130188,0.8058859705924988,-0.029113411903381348,6924
C,powerPlayPoints,0.17168448865413666,0.342795729637146,0.06303614377975464,6924
C,plusMinus,0.8086473345756531,1.1346354484558105,0.0023856759071350098,6924
C,pim,0.6020352840423584,1.3393474817276,-0.023462414741516113,6924
C,timeOnIceSeconds,6.105974197387695,7.57595682144165,0.999130324460566,6924
C,wins,0.013326865620911121,0.020194659009575844,0.0,6924
C,saves,0.4826256334781647,0.5836877226829529,0.0,6924
C,shotsAgainst,0.5222532153129578,0.6350533366203308,0.0,6924
C,goalsAgainst,0.06639251112937927,0.10358071327209473,0.0,6924
C,savePct,0.027069276198744774,0.03895188495516777,0.0,6924
C,shutouts,0.006265108939260244,0.006395792122930288,0.0,6924
G,goals,0.006934284698218107,0.006934477481991053,0.0,1207
G,assists,0.020414717495441437,0.020415103062987328,0.0,1207
G,points,0.023855390027165413,0.0238559078425169,0.0,1207
G,shots,0.022007513791322708,0.022007597610354424,0.0,1207
G,shotsOnGoal,0.019053855910897255,0.019053906202316284,0.0,1207
G,hits,0.20188291370868683,0.20188504457473755,0.0,1207
G,blocks,0.03829033672809601,0.03829120099544525,0.0,1207
G,powerPlayPoints,0.02582067809998989,0.025820976123213768,0.0,1207
G,plusMinus,0.011904474347829819,0.011904624290764332,0.0,1207
G,pim,0.10634205490350723,0.1063433364033699,0.0,1207
G,timeOnIceSeconds,12.440702438354492,12.440713882446289,0.0,1207
G,wins,0.4960747957229614,0.5035006403923035,-0.016161561012268066,1207
G,saves,6.737631320953369,8.484467506408691,-0.22666382789611816,1207
G,shotsAgainst,7.0696635246276855,8.88521957397461,-0.2976250648498535,1207
G,goalsAgainst,1.2449274063110352,1.5439733266830444,-0.06459295749664307,1207
G,savePct,0.13385914266109467,0.15104201436042786,-1.5938284397125244,1207
G,shutouts,0.08019997924566269,0.20867851376533508,-0.001278519630432129,1207
